都府県振興局,観測所番号,種類,観測所名,観測所種別,,手動フラグ
佐賀,85161,四,嬉野,2,,
佐賀,85166,四,白石,2,,
佐賀,85176,官,川副,3,,3
熊本,86006,四,鹿北,2,,
熊本,86066,四,南小国,2,,
熊本,86086,四,岱明,2,,
熊本,86101,四,菊池,2,,
熊本,86111,四,阿蘇乙姫,2,,
熊本,86141,官,熊本,1,,1
熊本,86146,官,益城,3,,3
熊本,86161,四,高森,2,,
熊本,86216,四,三角,2,,
熊本,86236,四,甲佐,2,,
熊本,86271,四,松島,2,,
熊本,86316,四,本渡,2,,
熊本,86336,四,八代,2,,
熊本,86451,四,水俣,2,,
熊本,86467,官,人吉,1,,1
熊本,86477,四,上,2,,
熊本,86491,官,牛深,1,,1
宮崎,87041,四,高千穂,2,,
宮崎,87066,四,古江,2,,
宮崎,87071,四,鞍岡,2,,
宮崎,87141,官,延岡,1,,1
宮崎,87181,四,日向,2,,
宮崎,87206,四,神門,2,,
宮崎,87231,四,西米良,2,,
宮崎,87301,四,加久藤,2,,
宮崎,87331,四,西都,2,,
宮崎,87352,四,小林,2,,
宮崎,87376,官,宮崎,1,,1
宮崎,87412,官,赤江,3,,3
宮崎,87426,官,都城,1,,1
宮崎,87492,官,油津,1,,1
宮崎,87501,四,串間,2,,
鹿児島,88061,官,阿久根,1,,1
鹿児島,88081,四,大口,2,,
鹿児島,88107,四,さつま柏原,2,,
鹿児島,88131,四,中甑,2,,
鹿児島,88151,四,川内,2,,
鹿児島,88166,官,溝辺,3,,3
鹿児島,88261,四,東市来,2,,
鹿児島,88286,四,牧之原,2,,
鹿児島,88317,官,鹿児島,1,,1
鹿児島,88331,四,輝北,2,,
鹿児島,88371,四,加世田,2,,
鹿児島,88406,四,志布志,2,,
鹿児島,88432,四,喜入,2,,
鹿児島,88442,四,鹿屋,2,,
鹿児島,88447,四,肝付前田,2,,
鹿児島,88466,官,枕崎,1,,1
鹿児島,88486,四,指宿,2,,
鹿児島,88506,四,内之浦,2,,
鹿児島,88536,四,田代,2,,
鹿児島,88612,官,種子島,1,,1
鹿児島,88621,官,中種子,2,,
鹿児島,88666,四,上中,2,,
鹿児島,88686,官,屋久島,1,,1
鹿児島,88706,四,尾之間,2,,
鹿児島,88736,四,中之島,2,,
鹿児島,88821,官,笠利,3,,3
鹿児島,88836,官,名瀬,1,,1
鹿児島,88851,官,喜界島,3,,3
鹿児島,88901,四,古仁屋,2,,
鹿児島,88931,官,天城,3,,3
鹿児島,88956,四,伊仙,2,,
鹿児島,88971,官,沖永良部,1,,1
鹿児島,88986,官,与論島,2,,
沖縄,91011,四,伊是名,2,,
沖縄,91021,四,奥,2,,
沖縄,91107,官,名護,1,,1
沖縄,91141,官,北原,3,,3
沖縄,91146,官,久米島,1,,1
沖縄,91166,四,宮城島,2,,
沖縄,91181,四,渡嘉敷,2,,
沖縄,91197,官,那覇,1,,1
沖縄,91236,官,安次嶺,3,,3
沖縄,91241,四,糸数,2,,
沖縄,92006,官,北大東,3,,3
沖縄,92011,官,南大東,1,,1
沖縄,92012,官,旧東,3,,3
沖縄,93012,官,下地島,3,,3
沖縄,93041,官,宮古島,1,,1
沖縄,93042,官,鏡原,3,,3
沖縄,93062,官,仲筋,3,,3
沖縄,94001,四,伊原間,2,,
沖縄,94011,官,所野,3,,3
沖縄,94017,官,与那国島,1,,1
沖縄,94062,官,西表島,1,,1
沖縄,94081,官,石垣島,1,,1
沖縄,94101,四,大原,2,,
沖縄,94116,四,波照間,2,,
